Audit_ID,Department,Audit_Finding,Risk_Level,Audit_Date
1,Operations,Non-compliance,Medium,2022-03-23
2,Finance,Fraudulent Activity,Medium,2022-09-05
3,HR,Non-compliance,High,2022-09-03
4,Operations,Non-compliance,Medium,2022-03-27
5,IT,Control Weakness,High,2022-11-05
6,IT,Non-compliance,Low,2022-11-16
7,Operations,Fraudulent Activity,Medium,2022-08-26
8,HR,Control Weakness,High,2022-11-16
9,Operations,Fraudulent Activity,Low,2022-01-05
10,Marketing,Non-compliance,High,2022-06-25
11,HR,Non-compliance,High,2022-02-11
12,HR,Control Weakness,Medium,2022-08-07
13,HR,Control Weakness,Medium,2022-09-03
14,HR,Fraudulent Activity,Low,2022-08-06
15,HR,Fraudulent Activity,Low,2022-10-28
16,Marketing,Fraudulent Activity,High,2022-03-12
17,HR,Non-compliance,Medium,2022-11-10
18,Finance,Fraudulent Activity,Low,2022-09-01
19,Marketing,Non-compliance,High,2022-11-12
20,Marketing,Non-compliance,Medium,2022-07-04
21,HR,Non-compliance,Low,2022-07-19
22,Marketing,Fraudulent Activity,Medium,2022-10-01
23,Finance,Control Weakness,High,2022-04-10
24,Finance,Fraudulent Activity,Low,2022-04-05
25,Finance,Control Weakness,Medium,2022-03-25
26,Finance,Control Weakness,High,2022-09-17
27,Marketing,Control Weakness,High,2022-11-10
28,Finance,Fraudulent Activity,High,2022-08-03
29,Marketing,Control Weakness,High,2022-08-08
30,Finance,Fraudulent Activity,Low,2022-05-08
31,Finance,Fraudulent Activity,Medium,2022-05-12
32,Marketing,Fraudulent Activity,High,2022-12-31
33,Operations,Fraudulent Activity,Low,2022-05-16
34,IT,Fraudulent Activity,Low,2022-04-28
35,Operations,Fraudulent Activity,Low,2022-11-24
36,Operations,Fraudulent Activity,Low,2022-03-02
37,Marketing,Control Weakness,Low,2022-10-13
38,Finance,Non-compliance,High,2022-01-07
39,Marketing,Control Weakness,High,2022-04-22
40,HR,Non-compliance,Low,2022-08-19
41,Marketing,Control Weakness,Medium,2022-02-06
42,IT,Control Weakness,High,2022-12-09
43,Operations,Fraudulent Activity,Low,2022-04-25
44,Marketing,Fraudulent Activity,High,2022-01-18
